Unnamed: 0,gender,age_group,familiarity_with_herbal_essences,respondent_location,hair_care_routine_story,ideal_hair_care_product_message,celeb_hair_care_philosophy,current_natural_shampoo_user,motivation_to_try_herbal_essence,price_sensitivity,persona
0,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Gentle-Caring,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
1,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,False,Evidence-Driven Motivation,Premium Product Enthusiasts,Budget-Conscious 
2,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Gentle-Caring,Science Experts,True,Trust-Based Influence,Budget-Conscious Consumers,Wellness and Quality Seeker
3,FEMALE,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,True,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
4,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Personalization-Focused,Science Experts,False,Evidence-Driven Motivation,Mid-Range Value Seekers,Urban Youth
5,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Laid-Back Trendsetters,False,Trust-Based Influence,Mid-Range Value Seekers,Budget-Conscious 
6,FEMALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Gentle-Caring,Science Experts,False,Evidence-Driven Motivation,Budget-Conscious Consumers,Budget-Conscious 
7,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Mid-Range Value Seekers,Budget-Conscious 
8,Prefer not to say,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers,Budget-Conscious 
9,MALE,18-25,Never heard of it,Not Specified,Cost-Aware,Other,Other,False,Trust-Based Influence,Budget-Conscious Consumers,Budget-Conscious 
10,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Personalization-Focused,Tech-Savvy Innovators,False,Trust-Based Influence,Budget-Conscious Consumers,Urban Youth
11,MALE,18-25,Never heard of it,Not Specified,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,True,Afordability,Budget-Conscious Consumers,Wellness and Quality Seeker
